timestamp_epoch,source_throughput_records_per_sec,total_managed_memory_used_bytes,total_managed_memory_total_bytes,total_slots_used
1774041044,188.8,166429984.0,665719939.0,4.0
1774041049,188.8,166429984.0,665719939.0,4.0
1774041054,1101.2166666666667,166429984.0,665719939.0,4.0
1774041059,1101.2166666666667,166429984.0,665719939.0,4.0
1774041064,1799.0166666666667,166429984.0,665719939.0,4.0
1774041069,1799.0166666666667,166429984.0,665719939.0,4.0
1774041074,2545.25,166429984.0,665719939.0,4.0
1774041079,2545.25,166429984.0,665719939.0,4.0
1774041084,3406.4666666666667,166429984.0,665719939.0,4.0
1774041089,3406.4666666666667,166429984.0,665719939.0,4.0
1774041094,4242.933333333333,166429984.0,665719939.0,4.0
1774041099,4242.933333333333,166429984.0,665719939.0,4.0
1774041104,4361.6,166429984.0,665719939.0,4.0
1774041109,4361.6,166429984.0,665719939.0,4.0
1774041114,4361.6,166429984.0,665719939.0,4.0
1774041119,4174.883333333333,166429984.0,665719939.0,4.0
1774041124,4174.883333333333,166429984.0,665719939.0,4.0
1774041129,4067.4333333333334,166429984.0,665719939.0,4.0
1774041134,4067.4333333333334,166429984.0,665719939.0,4.0
1774041139,3755.116666666667,166429984.0,665719939.0,4.0
1774041144,3755.116666666667,166429984.0,665719939.0,4.0
1774041149,3321.5333333333333,166429984.0,665719939.0,4.0
1774041154,3321.5333333333333,166429984.0,665719939.0,4.0
1774041159,3447.7833333333333,166429984.0,665719939.0,4.0
1774041164,3447.7833333333333,166429984.0,665719939.0,4.0
1774041169,3826.8333333333335,166429984.0,665719939.0,4.0
1774041174,3826.8333333333335,166429984.0,665719939.0,4.0
1774041179,3702.6833333333334,166429984.0,665719939.0,4.0
1774041184,3702.6833333333334,166429984.0,665719939.0,4.0
1774041189,3893.05,166429984.0,665719939.0,4.0
1774041194,3893.05,166429984.0,665719939.0,4.0
1774041199,4001.733333333333,166429984.0,665719939.0,4.0
1774041204,4001.733333333333,166429984.0,665719939.0,4.0
1774041209,4001.733333333333,166429984.0,665719939.0,4.0
1774041214,4026.0666666666666,166429984.0,665719939.0,4.0
1774041219,4026.0666666666666,166429984.0,665719939.0,4.0
1774041224,3801.2166666666667,166429984.0,665719939.0,4.0
1774041229,3801.2166666666667,166429984.0,665719939.0,4.0
1774041234,3801.2166666666667,166429984.0,665719939.0,4.0
1774041239,3801.2166666666667,0.0,665719939.0,6.0
1774041244,182.53333333333333,0.0,1331439878.0,6.0
1774041249,182.53333333333333,497025024.0,1331439878.0,6.0
1774041254,2053.4,497025024.0,1331439878.0,6.0
1774041259,2053.4,497025024.0,1331439878.0,6.0
1774041264,3633.866666666667,497025024.0,1331439878.0,6.0
1774041269,3633.866666666667,497025024.0,1331439878.0,6.0
1774041274,5208.483333333334,497025024.0,1331439878.0,6.0
1774041279,5208.483333333334,497025024.0,1331439878.0,6.0
1774041284,6738.766666666666,497025024.0,1331439878.0,6.0
1774041289,6738.766666666666,497025024.0,1331439878.0,6.0
