timestamp_epoch,source_throughput_records_per_sec,total_managed_memory_used_bytes,total_managed_memory_total_bytes,total_slots_used
1774196374,1452.0,166429984.0,665719939.0,2.0
1774196379,1452.0,166429984.0,665719939.0,2.0
1774196384,5168.616666666667,166429984.0,665719939.0,2.0
1774196389,5168.616666666667,166429984.0,665719939.0,2.0
1774196394,8701.633333333333,166429984.0,665719939.0,2.0
1774196399,8701.633333333333,166429984.0,665719939.0,2.0
1774196404,10941.35,166429984.0,665719939.0,2.0
1774196409,10941.35,166429984.0,665719939.0,2.0
1774196414,13263.166666666666,166429984.0,665719939.0,2.0
1774196419,13263.166666666666,166429984.0,665719939.0,2.0
1774196424,15298.383333333333,166429984.0,665719939.0,2.0
1774196429,15298.383333333333,166429984.0,665719939.0,2.0
1774196434,13130.8,166429984.0,665719939.0,2.0
1774196439,13130.8,166429984.0,665719939.0,2.0
1774196444,12773.233333333334,166429984.0,665719939.0,2.0
1774196449,12773.233333333334,166429984.0,665719939.0,2.0
1774196454,12773.233333333334,166429984.0,665719939.0,2.0
1774196459,12557.8,166429984.0,665719939.0,2.0
1774196464,12557.8,166429984.0,665719939.0,2.0
1774196469,12291.3,166429984.0,665719939.0,2.0
1774196474,12291.3,166429984.0,665719939.0,2.0
1774196479,11659.633333333333,166429984.0,665719939.0,2.0
1774196484,11659.633333333333,166429984.0,665719939.0,2.0
1774196489,11747.716666666667,166429984.0,665719939.0,2.0
1774196494,11747.716666666667,166429984.0,665719939.0,2.0
1774196499,12107.3,166429984.0,665719939.0,2.0
1774196504,12107.3,166429984.0,665719939.0,2.0
1774196509,11316.283333333333,166429984.0,665719939.0,2.0
1774196514,11316.283333333333,166429984.0,665719939.0,2.0
1774196519,11138.516666666666,166429984.0,665719939.0,2.0
1774196524,11138.516666666666,166429984.0,665719939.0,2.0
1774196529,11138.516666666666,166429984.0,665719939.0,2.0
1774196534,11568.55,166429984.0,665719939.0,2.0
1774196539,11568.55,166429984.0,665719939.0,2.0
1774196544,11527.533333333333,166429984.0,665719939.0,2.0
1774196549,11527.533333333333,166429984.0,665719939.0,2.0
1774196554,10972.65,166429984.0,665719939.0,2.0
1774196559,10972.65,166429984.0,665719939.0,4.0
1774196564,0.0,166429984.0,665719939.0,4.0
1774196569,0.0,106954752.0,665719939.0,4.0
1774196574,2497.0333333333333,106954752.0,665719939.0,4.0
1774196579,2497.0333333333333,106954752.0,665719939.0,4.0
1774196584,5331.533333333334,106954752.0,665719939.0,4.0
1774196589,5331.533333333334,106954752.0,665719939.0,4.0
1774196594,6132.216666666666,106954752.0,665719939.0,4.0
1774196599,6132.216666666666,106954752.0,665719939.0,4.0
1774196604,8171.983333333334,106954752.0,665719939.0,4.0
1774196609,8171.983333333334,106954752.0,665719939.0,4.0
1774196614,8171.983333333334,106954752.0,665719939.0,4.0
1774196619,9406.45,106954752.0,665719939.0,4.0
1774196624,9406.45,106954752.0,665719939.0,4.0
1774196629,9020.35,106954752.0,665719939.0,4.0
1774196634,9020.35,106954752.0,665719939.0,4.0
1774196639,8046.883333333333,106954752.0,665719939.0,4.0
1774196644,8046.883333333333,106954752.0,665719939.0,4.0
1774196649,6918.85,106954752.0,665719939.0,4.0
1774196654,6918.85,106954752.0,665719939.0,4.0
1774196659,6077.15,106954752.0,665719939.0,4.0
1774196664,6077.15,106954752.0,665719939.0,4.0
1774196669,5232.983333333334,106954752.0,665719939.0,4.0
1774196674,5232.983333333334,106954752.0,665719939.0,4.0
1774196679,4220.583333333333,106954752.0,665719939.0,4.0
1774196684,4220.583333333333,106954752.0,665719939.0,4.0
1774196689,3482.233333333333,106954752.0,665719939.0,4.0
1774196694,3482.233333333333,106954752.0,665719939.0,4.0
1774196699,2950.4,106954752.0,665719939.0,4.0
1774196704,2950.4,106954752.0,665719939.0,4.0
1774196709,2950.4,106954752.0,665719939.0,4.0
1774196714,2679.733333333333,106954752.0,665719939.0,4.0
1774196719,2679.733333333333,106954752.0,665719939.0,4.0
1774196724,2339.8,106954752.0,665719939.0,4.0
1774196729,2339.8,106954752.0,665719939.0,4.0
1774196734,2097.4333333333334,106954752.0,665719939.0,4.0
1774196739,2097.4333333333334,106954752.0,665719939.0,4.0
1774196744,1855.35,106954752.0,665719939.0,4.0
1774196749,1855.35,106954752.0,665719939.0,4.0
1774196754,1726.3666666666666,106954752.0,665719939.0,4.0
1774196759,1726.3666666666666,106954752.0,665719939.0,4.0
1774196764,1675.8333333333333,106954752.0,665719939.0,4.0
1774196769,1675.8333333333333,106954752.0,665719939.0,4.0
1774196774,1675.8333333333333,106954752.0,665719939.0,4.0
1774196779,1632.9166666666667,106954752.0,665719939.0,4.0
1774196784,1632.9166666666667,106954752.0,665719939.0,4.0
1774196789,1636.2833333333333,106954752.0,665719939.0,4.0
1774196794,1636.2833333333333,106954752.0,665719939.0,4.0
1774196799,1583.35,106954752.0,665719939.0,4.0
1774196804,1583.35,106954752.0,665719939.0,4.0
1774196809,1892.75,106954752.0,665719939.0,4.0
1774196814,1892.75,106954752.0,665719939.0,4.0
1774196819,1822.3333333333333,106954752.0,665719939.0,4.0
1774196824,1822.3333333333333,106954752.0,665719939.0,4.0
1774196829,2097.383333333333,106954752.0,665719939.0,4.0
1774196834,2097.383333333333,106954752.0,665719939.0,4.0
1774196839,2097.383333333333,106954752.0,665719939.0,4.0
1774196844,2059.516666666667,106954752.0,665719939.0,4.0
1774196849,2059.516666666667,106954752.0,665719939.0,4.0
1774196854,1981.5,106954752.0,665719939.0,4.0
1774196859,1981.5,106954752.0,665719939.0,4.0
1774196864,1885.1333333333334,106954752.0,665719939.0,4.0
1774196869,1885.1333333333334,106954752.0,665719939.0,4.0
1774196874,1886.1166666666666,106954752.0,665719939.0,4.0
