timestamp_epoch,source_throughput_records_per_sec,total_managed_memory_used_bytes,total_managed_memory_total_bytes,total_slots_used
1774032613,4563.816666666667,166429984.0,1331439878.0,5.0
1774032618,4563.816666666667,166429984.0,1331439878.0,5.0
1774032623,8314.9,166429984.0,1331439878.0,5.0
1774032628,8314.9,166429984.0,1331439878.0,5.0
1774032633,12497.466666666667,166429984.0,1331439878.0,5.0
1774032638,12497.466666666667,166429984.0,1331439878.0,5.0
1774032643,16404.9,166429984.0,1331439878.0,5.0
1774032648,16404.9,166429984.0,1331439878.0,5.0
1774032653,20424.683333333334,166429984.0,1331439878.0,5.0
1774032658,20424.683333333334,166429984.0,1331439878.0,5.0
1774032663,24003.733333333334,166429984.0,1331439878.0,5.0
1774032668,24003.733333333334,166429984.0,1331439878.0,5.0
1774032673,23929.25,166429984.0,1331439878.0,5.0
1774032678,23929.25,166429984.0,1331439878.0,5.0
1774032683,24313.533333333333,166429984.0,1331439878.0,5.0
1774032688,24313.533333333333,166429984.0,1331439878.0,5.0
1774032693,24095.183333333334,166429984.0,1331439878.0,5.0
1774032698,24095.183333333334,166429984.0,1331439878.0,5.0
1774032703,24537.9,166429984.0,1331439878.0,5.0
1774032708,24537.9,166429984.0,1331439878.0,5.0
1774032713,24226.25,166429984.0,1331439878.0,5.0
1774032718,24226.25,166429984.0,1331439878.0,5.0
1774032723,24165.000000000004,166429984.0,1331439878.0,5.0
1774032728,24165.000000000004,166429984.0,1331439878.0,5.0
1774032733,24367.3,166429984.0,1331439878.0,5.0
1774032738,24367.3,166429984.0,1331439878.0,5.0
1774032743,24312.716666666667,166429984.0,1331439878.0,5.0
1774032748,24196.1,166429984.0,1331439878.0,5.0
1774032753,24126.38333333333,166429984.0,1331439878.0,5.0
1774032758,23978.583333333332,166429984.0,1331439878.0,5.0
1774032763,23844.25,166429984.0,1331439878.0,5.0
1774032768,23549.116666666665,166429984.0,1331439878.0,5.0
1774032773,23549.116666666665,166429984.0,1331439878.0,5.0
1774032778,23852.649999999998,166429984.0,1331439878.0,5.0
1774032783,23852.649999999998,166429984.0,1331439878.0,8.0
1774032788,23852.649999999998,0.0,1331439878.0,8.0
1774032793,16451.516666666666,0.0,1331439878.0,16.0
1774032798,0.0,402653184.0,2662879756.0,16.0
1774032803,7401.05,402653184.0,2662879756.0,16.0
1774032808,7401.05,1207959552.0,2662879756.0,16.0
1774032813,20838.15,1207959552.0,2662879756.0,16.0
1774032818,20838.15,1207959552.0,2662879756.0,16.0
1774032823,29404.683333333334,1207959552.0,2662879756.0,16.0
1774032828,33404.683333333334,1207959552.0,2662879756.0,16.0
1774032833,42350.816666666666,1207959552.0,2662879756.0,16.0
1774032838,46350.816666666666,1207959552.0,2662879756.0,16.0
1774032843,54638.51666666666,1207959552.0,2662879756.0,16.0
1774032848,58638.51666666666,1207959552.0,2662879756.0,16.0
1774032853,62815.96666666666,1207959552.0,2662879756.0,16.0
1774032858,66255.26666666666,1207959552.0,2662879756.0,16.0
1774032863,66691.23333333334,1207959552.0,2662879756.0,16.0
1774032868,67759.3,1207959552.0,2662879756.0,16.0
1774032873,62316.31666666667,1207959552.0,2662879756.0,16.0
1774032878,62300.26666666667,1207959552.0,2662879756.0,16.0
1774032883,62300.26666666667,1207959552.0,2662879756.0,16.0
1774032888,56663.35,1207959552.0,2662879756.0,16.0
1774032893,56663.35,1207959552.0,2662879756.0,16.0
1774032898,51642.61666666667,1207959552.0,2662879756.0,16.0
1774032903,51642.61666666667,1207959552.0,2662879756.0,16.0
1774032908,44959.399999999994,1207959552.0,2662879756.0,16.0
1774032913,44959.399999999994,1207959552.0,2662879756.0,16.0
1774032918,46550.049999999996,1207959552.0,2662879756.0,16.0
1774032923,46550.049999999996,1207959552.0,2662879756.0,16.0
1774032928,43835.96666666667,1207959552.0,2662879756.0,16.0
1774032933,43835.96666666667,1207959552.0,2662879756.0,16.0
1774032938,41701.45,1207959552.0,2662879756.0,16.0
1774032943,41701.45,1207959552.0,2662879756.0,16.0
1774032948,45054.666666666664,1207959552.0,2662879756.0,16.0
1774032953,45054.666666666664,1207959552.0,2662879756.0,16.0
1774032958,41414.59999999999,1207959552.0,2662879756.0,16.0
1774032963,41414.59999999999,1207959552.0,2662879756.0,16.0
1774032968,43246.08333333333,1207959552.0,2662879756.0,16.0
1774032973,43246.08333333333,1207959552.0,2662879756.0,16.0
1774032978,45497.36666666667,1207959552.0,2662879756.0,16.0
1774032983,45497.36666666667,1207959552.0,2662879756.0,16.0
1774032988,42875.53333333333,1207959552.0,2662879756.0,16.0
1774032993,42875.53333333333,1207959552.0,2662879756.0,16.0
1774032998,45310.46666666667,1207959552.0,2662879756.0,16.0
1774033003,45310.46666666667,1207959552.0,2662879756.0,16.0
1774033008,41522.05,1207959552.0,2662879756.0,16.0
1774033013,41522.05,1207959552.0,2662879756.0,16.0
1774033018,43755.183333333334,1207959552.0,2662879756.0,16.0
1774033023,43755.183333333334,1207959552.0,2662879756.0,16.0
1774033028,44998.683333333334,1207959552.0,2662879756.0,16.0
1774033033,44998.683333333334,1207959552.0,2662879756.0,16.0
1774033038,43712.13333333334,1207959552.0,2662879756.0,16.0
1774033043,43712.13333333334,1207959552.0,2662879756.0,16.0
1774033048,45568.350000000006,1207959552.0,2662879756.0,16.0
1774033053,45568.350000000006,1207959552.0,2662879756.0,16.0
1774033058,45074.350000000006,1207959552.0,2662879756.0,16.0
1774033063,45074.350000000006,1207959552.0,2662879756.0,16.0
1774033068,44488.25,1207959552.0,2662879756.0,16.0
1774033073,44488.25,1207959552.0,2662879756.0,16.0
1774033078,48535.53333333333,1207959552.0,2662879756.0,16.0
1774033083,49028.2,1207959552.0,2662879756.0,16.0
1774033088,53406.86666666667,1207959552.0,2662879756.0,16.0
1774033093,53492.91666666667,1207959552.0,2662879756.0,16.0
1774033098,59514.86666666667,1207959552.0,2662879756.0,16.0
1774033103,59506.649999999994,1207959552.0,2662879756.0,16.0
1774033108,59506.649999999994,1207959552.0,2662879756.0,16.0
1774033113,62716.416666666664,1207959552.0,2662879756.0,16.0
1774033118,62716.416666666664,1207959552.0,2662879756.0,16.0
1774033123,64905.55,1207959552.0,2662879756.0,16.0
1774033128,65743.18333333333,1207959552.0,2662879756.0,16.0
1774033133,66132.65,1207959552.0,2662879756.0,16.0
1774033138,66132.65,1207959552.0,2662879756.0,16.0
1774033143,56427.28333333333,1207959552.0,2662879756.0,16.0
1774033148,56427.28333333333,1207959552.0,2662879756.0,16.0
1774033153,48634.783333333326,1207959552.0,2662879756.0,16.0
1774033158,48634.783333333326,1207959552.0,2662879756.0,16.0
1774033163,43982.88333333333,1207959552.0,2662879756.0,16.0
1774033168,43982.88333333333,1207959552.0,2662879756.0,16.0
1774033173,35308.700000000004,1207959552.0,2662879756.0,16.0
1774033178,35308.700000000004,1207959552.0,2662879756.0,16.0
1774033183,32070.516666666663,1207959552.0,2662879756.0,16.0
1774033188,32070.516666666663,1207959552.0,2662879756.0,16.0
1774033193,35186.433333333334,1207959552.0,2662879756.0,16.0
1774033198,35186.433333333334,1207959552.0,2662879756.0,16.0
1774033203,32412.2,1207959552.0,2662879756.0,16.0
1774033208,32412.2,1207959552.0,2662879756.0,16.0
1774033213,31375.800000000003,1207959552.0,2662879756.0,16.0
1774033218,31375.800000000003,1207959552.0,2662879756.0,16.0
1774033223,31015.566666666662,1207959552.0,2662879756.0,16.0
