timestamp_epoch,source_throughput_records_per_sec,total_managed_memory_used_gb,num_task_slots_used,avg_rocksdb_block_cache_hit_rate
1774352979.971,,,0,
1774352984.971,,,0,
1774352989.971,,,0,
1774352994.971,,,0,
1774352999.971,,,0,
1774353004.971,,,0,
1774353009.971,,0,2,
1774353014.971,0,0.1550000011920929,2,
1774353019.971,1847.6833333333334,0.1550000011920929,2,NaN
1774353024.971,3277.133333333333,0.1550000011920929,2,0.9635940985696343
1774353029.971,4569.516666666666,0.1550000011920929,2,0.976169429097606
1774353034.971,5394.3,0.1550000011920929,2,0.9813191411740722
1774353039.971,6294.116666666667,0.1550000011920929,2,0.9862918928825052
1774353044.971,7108.216666666666,0.1550000011920929,2,0.9877275905287543
1774353049.971,7931.7,0.1550000011920929,2,0.9896420661370671
1774353054.971,8762.5,0.1550000011920929,2,0.9914400997565982
1774353059.971,9429.566666666668,0.1550000011920929,2,0.977879740497627
1774353064.971,10280.383333333333,0.1550000011920929,2,0.979297392177185
1774353069.971,11187.1,0.1550000011920929,2,0.9808869495958904
1774353074.971,11884.083333333334,0.1550000011920929,2,0.9804683511484252
1774353079.971,10965.85,0.1550000011920929,2,0.9813746516617478
1774353084.971,10350.1,0.1550000011920929,2,0.9825232669900077
1774353089.971,9770.7,0.1550000011920929,2,0.9832595521050947
1774353094.971,9738.033333333333,0.1550000011920929,2,0.9837963811782154
1774353099.971,9535.6,0.1550000011920929,2,0.984335628107337
1774353104.971,9410.4,0.1550000011920929,2,0.9845513536652849
1774353109.971,9251.716666666667,0.1550000011920929,2,0.9846710781702793
1774353114.971,9118.816666666668,0.1550000011920929,2,0.993248988084075
1774353119.971,8914.766666666666,0.1550000011920929,2,0.9770378458246626
1774353124.971,8819.25,0.1550000011920929,2,0.9767016169633135
1774353129.971,8682.566666666668,0.1550000011920929,2,0.9781483509341359
1774353134.971,8645.666666666666,0.1550000011920929,2,0.9770546114271191
1774353139.971,8456.733333333334,0.1550000011920929,2,0.9761339455660741
1774353144.971,8451.166666666666,0.1550000011920929,2,0.9753517514381586
1774353149.971,8422.366666666667,0.1550000011920929,2,0.9739183338581799
1774353154.971,8352.1,0.1550000011920929,2,0.9732623352835723
1774353159.971,8366.65,0.1550000011920929,2,0.9723592760927071
1774353164.971,8336.083333333334,0.1550000011920929,2,0.971026360709826
1774353169.971,8311.9,0.1550000011920929,2,0.9699574596738667
1774353174.971,8285.316666666668,0.1550000011920929,2,0.9888462138200395
1774353179.971,8499.633333333333,0.1550000011920929,2,0.987172206372436
1774353184.971,8176.9,0.1550000011920929,2,0.9620918674835626
1774353189.971,7987.6,0.1550000011920929,2,0.9611697850849682
1774353194.971,8067.616666666667,0.1550000011920929,2,0.9628536198638729
1774353199.971,8034.616666666667,0.1550000011920929,2,0.9626569897243089
1774353204.971,0,0.099609375,4,0.9610778858141411
1774353209.971,1143.3,0.099609375,4,0.919424681598525
1774353214.971,1972.5833333333333,0.099609375,4,0.8986617380474717
1774353219.971,2708.5,0.099609375,4,0.8923031034738291
1774353224.971,3404.0666666666666,0.099609375,4,0.8883814331318042
1774353229.971,4083.6833333333334,0.099609375,4,0.8856761986198827
1774353234.971,4740.433333333333,0.099609375,4,0.8848340862683479
1774353239.971,5345.566666666667,0.099609375,4,0.9027078958363436
1774353244.971,5997.316666666667,0.099609375,4,0.9094837544429333
1774353249.971,6581.9,0.099609375,4,0.9113734821038143
1774353254.971,7174.683333333333,0.099609375,4,0.8935306998081731
1774353259.971,7655.616666666667,0.099609375,4,0.89348669392909
1774353264.971,8123.65,0.099609375,4,0.8925998292398412
1774353269.971,7566.066666666667,0.099609375,4,0.8964481173636719
1774353274.971,7215.4,0.099609375,4,0.9001554676925018
1774353279.971,7002.4,0.099609375,4,0.9051603135075709
1774353284.971,6724,0.099609375,4,0.906731344521684
1774353289.971,6540.166666666667,0.099609375,4,0.9073205401293395
1774353294.971,6199.15,0.099609375,4,0.9067264596053064
1774353299.971,5961.6,0.099609375,4,0.905656656770127
