timestamp_epoch,source_throughput_records_per_sec,total_managed_memory_used_bytes,total_slots_used
1771980454,0.0,166429984.0,4.0
1771980459,0.0,166429984.0,4.0
1771980464,1384.2333333333333,166429984.0,4.0
1771980469,1384.2333333333333,166429984.0,4.0
1771980474,2360.7833333333333,166429984.0,4.0
1771980479,2360.7833333333333,166429984.0,4.0
1771980484,3209.7166666666667,166429984.0,4.0
1771980489,3209.7166666666667,166429984.0,4.0
1771980494,3209.7166666666667,166429984.0,4.0
1771980499,4076.8333333333335,166429984.0,4.0
1771980504,4076.8333333333335,166429984.0,4.0
1771980509,5516.033333333334,166429984.0,4.0
1771980514,5516.033333333334,166429984.0,4.0
1771980519,5682.1,166429984.0,4.0
1771980524,5682.1,166429984.0,4.0
1771980529,5697.533333333334,166429984.0,4.0
1771980534,5697.533333333334,166429984.0,4.0
1771980539,5759.65,166429984.0,4.0
1771980544,5759.65,166429984.0,4.0
1771980549,5759.65,166429984.0,4.0
1771980554,5914.7,166429984.0,4.0
1771980559,5914.7,166429984.0,4.0
1771980564,5977.85,166429984.0,4.0
1771980569,5977.85,166429984.0,4.0
1771980574,5827.5,166429984.0,4.0
1771980579,5827.5,166429984.0,4.0
1771980584,5759.633333333333,166429984.0,4.0
1771980589,5759.633333333333,166429984.0,4.0
1771980594,5678.866666666667,166429984.0,4.0
1771980599,5678.866666666667,166429984.0,4.0
1771980604,5678.866666666667,166429984.0,4.0
1771980609,5632.0,166429984.0,4.0
1771980614,5632.0,166429984.0,4.0
1771980619,5650.333333333333,166429984.0,4.0
1771980624,5650.333333333333,166429984.0,4.0
1771980629,5753.816666666667,166429984.0,4.0
1771980634,5753.816666666667,166429984.0,4.0
1771980639,5753.816666666667,0.0,4.0
1771980644,5753.816666666667,0.0,4.0
1771980649,962.8333333333334,165675008.0,4.0
1771980654,962.8333333333334,165675008.0,4.0
1771980659,2453.016666666667,165675008.0,4.0
1771980664,2453.016666666667,165675008.0,4.0
1771980669,3449.516666666667,165675008.0,4.0
1771980674,3449.516666666667,165675008.0,4.0
1771980679,3449.516666666667,165675008.0,4.0
1771980684,4261.383333333333,165675008.0,4.0
1771980689,4261.383333333333,165675008.0,4.0
1771980694,5183.833333333333,165675008.0,4.0
1771980699,5183.833333333333,165675008.0,4.0
1771980704,5995.6,165675008.0,4.0
1771980709,5995.6,165675008.0,4.0
1771980714,5235.55,165675008.0,4.0
1771980719,5235.55,165675008.0,4.0
1771980724,5137.383333333333,165675008.0,4.0
1771980729,5137.383333333333,165675008.0,4.0
1771980734,5090.866666666667,165675008.0,4.0
1771980739,5090.866666666667,165675008.0,4.0
1771980744,5258.166666666667,165675008.0,4.0
1771980749,5258.166666666667,165675008.0,4.0
1771980754,5253.516666666666,165675008.0,4.0
1771980759,5253.516666666666,165675008.0,4.0
1771980764,5498.4,165675008.0,4.0
1771980769,5498.4,165675008.0,4.0
1771980774,5516.133333333333,165675008.0,4.0
1771980779,5516.133333333333,165675008.0,4.0
1771980784,5516.133333333333,165675008.0,4.0
1771980789,5552.833333333333,165675008.0,4.0
1771980794,5552.833333333333,165675008.0,4.0
1771980799,5607.6,165675008.0,4.0
1771980804,5607.6,165675008.0,4.0
1771980809,5595.65,165675008.0,4.0
1771980814,5595.65,165675008.0,4.0
1771980819,5662.583333333333,165675008.0,4.0
1771980824,5662.583333333333,165675008.0,4.0
1771980829,5717.366666666667,165675008.0,4.0
1771980834,5717.366666666667,165675008.0,4.0
1771980839,5717.366666666667,165675008.0,4.0
1771980844,5765.783333333334,165675008.0,4.0
1771980849,5650.133333333333,165675008.0,4.0
1771980854,5650.133333333333,165675008.0,4.0
1771980859,5650.133333333333,165675008.0,4.0
1771980864,5656.183333333333,165675008.0,4.0
1771980869,5656.183333333333,165675008.0,4.0
1771980874,5522.483333333334,165675008.0,4.0
1771980879,5522.483333333334,165675008.0,4.0
1771980884,5400.616666666667,165675008.0,4.0
1771980889,5400.616666666667,165675008.0,4.0
1771980894,5273.0,165675008.0,4.0
1771980899,5273.0,165675008.0,4.0
1771980904,5273.0,165675008.0,4.0
1771980909,5467.616666666667,165675008.0,4.0
1771980914,5467.616666666667,165675008.0,4.0
1771980919,5589.033333333334,165675008.0,4.0
1771980924,5589.033333333334,165675008.0,4.0
1771980929,5716.716666666666,165675008.0,4.0
1771980934,5716.716666666666,165675008.0,4.0
1771980939,5826.05,165675008.0,4.0
1771980944,5826.05,165675008.0,4.0
1771980949,5941.8,165675008.0,4.0
1771980954,5941.8,165675008.0,4.0
1771980959,5808.283333333334,165675008.0,4.0
1771980964,5808.283333333334,165675008.0,4.0
1771980969,5686.383333333333,165675008.0,4.0
1771980974,5686.383333333333,165675008.0,4.0
1771980979,5686.383333333333,165675008.0,4.0
1771980984,5716.883333333333,165675008.0,4.0
1771980989,5716.883333333333,165675008.0,4.0
1771980994,5674.3,165675008.0,4.0
1771980999,5674.3,165675008.0,4.0
1771981004,5716.966666666666,165675008.0,4.0
1771981009,5716.966666666666,165675008.0,4.0
1771981014,5923.766666666666,165675008.0,4.0
1771981019,5923.766666666666,165675008.0,4.0
1771981024,5923.766666666666,165675008.0,4.0
1771981029,6142.816666666667,165675008.0,4.0
1771981034,6142.816666666667,165675008.0,4.0
1771981039,6027.3,165675008.0,4.0
1771981044,6027.3,165675008.0,4.0
1771981049,5936.183333333333,165675008.0,4.0
