timestamp_epoch,source_throughput_records_per_sec,total_managed_memory_used_gb,num_task_slots_used,avg_rocksdb_block_cache_hit_rate
1774117786,4627.683333333333,0.1550000011920929,5,0.6003240385435319
1774117791,6585.383333333334,0.1550000011920929,5,0.6338453661034307
1774117796,8632.166666666668,0.1550000011920929,5,0.5915324219669256
1774117801,10585.583333333332,0.1550000011920929,5,0.6228943611705924
1774117806,12510.3,0.1550000011920929,5,0.7024005694925979
1774117811,14462.033333333333,0.1550000011920929,5,0.642151382109387
1774117816,16379.9,0.1550000011920929,5,0.6650036455389253
1774117821,18419.266666666666,0.1550000011920929,5,0.6855667020497257
1774117826,20331.083333333336,0.1550000011920929,5,0.6468024527850545
1774117831,22451.033333333333,0.1550000011920929,5,0.6470132324072345
1774117836,24225.966666666667,0.1550000011920929,5,0.6810005678938349
1774117841,23715.65,0.1550000011920929,5,0.6429241141706618
1774117846,23281.083333333336,0.1550000011920929,5,0.6629451977738927
1774117851,23444.983333333334,0.1550000011920929,5,0.6822336236725928
1774117856,23164.300000000003,0.1550000011920929,5,0.6590847505611617
1774117861,23128.266666666666,0.1550000011920929,5,0.6420470169174602
1774117866,23156.033333333333,0.1550000011920929,5,0.6972908891328211
1774117871,23234.283333333333,0.1550000011920929,5,0.644835129548237
1774117876,23083.833333333336,0.1550000011920929,5,0.6514281694654281
1774117881,23171.716666666667,0.1550000011920929,5,0.687540953728254
1774117886,23015.083333333332,0.1550000011920929,5,0.6598613251155624
1774117891,22814.516666666666,0.1550000011920929,5,0.6392392353736243
1774117896,23041.266666666666,0.1550000011920929,5,0.6990759245701169
1774117901,22811.35,0.1550000011920929,5,0.6346307546256515
1774117906,23211.316666666666,0.1550000011920929,5,0.6492193581870082
1774117911,23054.233333333334,0.1550000011920929,5,0.6780771106657323
1774117916,23098.75,0.1550000011920929,5,0.6468164897474326
1774117921,23187.933333333334,0.1550000011920929,5,0.6264283738736771
1774117926,23114.216666666667,0.1550000011920929,5,0.6900050944724972
1774117931,22903.45,0.1550000011920929,5,0.6285079485368836
1774117936,23238.033333333333,0.1550000011920929,5,0.6268477964498839
1774117941,23102.199999999997,0.1550000011920929,5,0.6657612186147023
1774117946,23047.3,0.1550000011920929,5,0.6420821057276727
1774117951,23099.15,0.1550000011920929,5,0.6298916063549875
1774117956,,0,5,0.6730615086458314
1774117961,,0,8,0.6538632273061122
1774117966,0,0.486328125,9,0.6379776988490831
1774117971,115.53333333333333,0.810546875,9,NaN
1774117976,2848.383333333333,0.810546875,9,NaN
1774117981,6696.166666666667,0.810546875,9,NaN
1774117986,11873.25,0.810546875,9,0.5574494832402314
1774117991,16421.5,0.810546875,9,0.5916123092381942
1774117996,20947.616666666665,0.810546875,9,0.6303755959532324
1774118001,25736.216666666667,0.810546875,9,0.6965196486750771
1774118006,29835.816666666666,0.810546875,9,0.6571700540658625
1774118011,34598.38333333333,0.810546875,9,0.6740303541719466
1774118016,39103.75,0.810546875,9,0.671888167942982
1774118021,42796.86666666667,0.810546875,9,0.6673479882410916
1774118026,47017.61666666667,0.810546875,9,0.6746706834151617
1774118031,51026.600000000006,0.810546875,9,0.674378951522215
1774118036,53273.65,0.810546875,9,0.6670763159599344
1774118041,54906.26666666666,0.810546875,9,0.6712955258731536
1774118046,54252.53333333334,0.810546875,9,0.6769228381374908
1774118051,54397.03333333333,0.810546875,9,0.6837057518203006
1774118056,54220.36666666667,0.810546875,9,0.6898716609932991
1774118061,53270.950000000004,0.810546875,9,0.6681385371690384
1774118066,53923.46666666667,0.810546875,9,0.6696118766545164
1774118071,54019.100000000006,0.810546875,9,0.672909207589937
1774118076,54778.933333333334,0.810546875,9,0.6850430399780099
1774118081,56413.46666666667,0.810546875,9,0.6730097730059534
1774118086,56438.63333333334,0.810546875,9,0.6373927448360285
1774118091,57248.61666666667,0.810546875,9,0.6444791864555152
1774118096,57630.649999999994,0.810546875,9,0.6513580451162249
1774118101,57631,0.810546875,9,0.6398181107526015
1774118106,58214.83333333333,0.810546875,9,0.6197951958210348
1774118111,57949.63333333333,0.810546875,9,0.5971289260223229
1774118116,58431.066666666666,0.810546875,9,0.6089001493459933
